year,bond_jp,bond_gl,stock_jp,stock_gl
2001,0.0087,0.062,-0.1705,0.0367
2002,0.0419,0.1523,-0.2541,-0.3223
2003,-0.0182,0.002,0.503,0.2376
2004,0.0213,0.1142,0.0164,0.1543
2005,-0.014,0.0771,0.5014,0.282
2006,0.0218,0.1019,0.0047,0.175
2007,0.0331,-0.0032,-0.2797,-0.171
2008,0.0135,-0.0675,-0.3555,-0.4321
2009,0.0198,0.0132,0.294,0.4611
2010,0.0195,-0.0706,-0.0904,0.0218
2011,0.0292,0.0477,0.0057,0.0049
2012,0.0368,0.183,0.234,0.2891
2013,0.006,0.1493,0.1809,0.32
2014,0.0276,0.127,0.3048,0.2227
2015,0.0407,-0.0332,-0.108,-0.0963
2016,-0.0085,-0.0322,0.1489,0.142
2017,0.008,0.0371,0.1566,0.1015
2018,0.0143,0.027,-0.0509,0.0812
2019,-0.0036,0.0355,-0.0971,-0.1308
2020,-0.0068,0.0706,0.4155,0.5942
2021,-0.0099,0.0229,0.0212,0.1848
2022,-0.0174,-0.0012,0.0554,0.0184